Developer,City,Administrative division,country_code,Country,Est.,"Notable games, series or franchises",Notes
Brøderbund,Eugene,Oregon,USA,United States,1980,Prince of Persia series,Closed in 1998
Bugbear Entertainment,Helsinki,,FIN,Finland,2000,FlatOut seriesWreckfest,Acquired by THQ Nordic in 2018
Bullfrog Productions,Guildford,England,GBR,United Kingdom,1987,Theme ParkMagic CarpetSyndicateDungeon Keeper series,Acquired by Electronic Arts in 1995 and closed in 2001
Bungie,Bellevue,Washington,USA,United States,1991,Halo seriesMarathonOniMythPathways into DarknessMinotaur: The Labyrinths of CreteOperation: Desert StormDestiny series,Formerly a subsidiary of Microsoft Game Studios
Camelot Software Planning,Tokyo,,JPN,Japan,1990,Shining seriesMario Golf seriesMario Tennis seriesGolden Sun series,
Capcom,Osaka,,JPN,Japan,1979,Mega Man franchise Mega Man series Mega Man X series Mega Man Legends series Mega Man Battle Network series Mega Man Zero series Mega Man ZX series Mega Man Star Force series Street Fighter franchiseResident Evil franchiseDevil May Cry franchiseMonster Hunter franchiseGhost 'n Goblins seriesStrider seriesFinal Fight seriesDino Crisis seriesDarkstalkers seriesAce Attorney franchiseOnimusha seriesSengoku BASARA seriesDragon's Dogma seriesViewtiful Joe seriesŌkami seriesDead Rising seriesMarvel vs. Capcom seriesBreath of Fire series,Developer/publisher
Capcom Vancouver,Burnaby,British Columbia,CAN,Canada,2005,Dead Rising series,"Founded as Blue Castle Games; acquired by Capcom in 2010; closed on September 18, 2018"
Carbine Studios,Aliso Viejo,California,USA,United States,2005,WildStar,Subsidiary of NCSoft
Cattle Call,Tokyo,,JPN,Japan,1998,Metal Max seriesArc the Lad series,Formed by former employees of Data East
Cauldron,Bratislava,,SVK,Slovakia,1996,Chaser,Their assets were acquired by Bohemia Interactive[8]
Cave,"Shinjuku, Tokyo",,JPN,Japan,1994,DoDonPachi,
Cavia,Tokyo,,JPN,Japan,2000,Drakengard seriesNier,
CCP Games,Reykjavík,,ISL,Iceland,1997,Eve Online,Their Newcastle studio was acquired by Sumo Digital. CCP Games itself was acquired by Pearl Abyss.
CD Projekt Red,Warsaw,Masovian Voivodeship,POL,Poland,2002,The Witcher seriesCyberpunk 2077,Game development studio of CD Projekt
Certain Affinity,Austin,Texas,USA,United States,2006,Halo series,Co-developed the Halo series
Chair Entertainment,Salt Lake City,Utah,USA,United States,2005,UndertowShadow ComplexInfinity Blade series,Subsidiary of Epic Games
Chunsoft,"Shinjuku, Tokyo",,JPN,Japan,1984,Mystery Dungeon seriesDragon Quest I–V,Merged with Spike to become Spike Chunsoft in 2012
Cing,Fukuoka,,JPN,Japan,1999,Little King's Story,
Clap Hanz,Yokohama,,JPN,Japan,1998,Everybody's Golf seriesEverybody's Tennis series,
Climax Entertainment,Tokyo,,JPN,Japan,1990,Runabout series,
Climax Studios,Portsmouth,England,GBR,United Kingdom,1988,Silent Hill: OriginsAssassin's Creed Chronicles series,
Clover Studio,Osaka,,JPN,Japan,2004,Viewtiful Joe seriesOkamiGod Hand,Subsidiary of Capcom; became defunct in 2007.
Coded Illusions,Rotterdam,,NLD,Netherlands,2005,,
Codemasters,Southam,England,GBR,United Kingdom,1985,F1 seriesColin McRae Rally seriesOperation Flashpoint seriesGrid series,Former subsidiary of Reliance Entertainment; developer/publisher
Coffee Stain Studios,Skövde,,SWE,Sweden,2010,Goat Simulator Satisfactory,Acquired by THQ Nordic AB (latterly Embracer Group) in 2018
Cohort Studios,Cardiff,Wales,GBR,United Kingdom,2006,Buzz! Junior series,
Coktel Vision,Paris,,FRA,France,1985,Inca series,Former publisher
Colossal Order,Tampere,,FIN,Finland,2009,Cities in MotionCities: Skylines,Developer for Paradox Interactive
